Date & Time,Website,Prediction,Confidence,Scan Type
08-07-2026 23:15:11,http://bit.ly/test,🚨 Phishing Website,99.54%,🌐 URL Scan
08-07-2026 23:15:43,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
08-07-2026 23:20:23,http://bit.ly/test,🚨 Phishing Website,99.54%,🌐 URL Scan
08-07-2026 23:20:42,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
09-07-2026 07:50:23,https://www.github.com,✅ Legitimate Website,91.24%,🌐 URL Scan
09-07-2026 07:50:42,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
09-07-2026 08:13:55,http://bit.ly/test,🚨 Phishing Website,99.54%,🌐 URL Scan
09-07-2026 08:17:02,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
09-07-2026 10:58:08,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
09-07-2026 19:01:56,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
09-07-2026 19:03:34,https://q.me-qr.com/h1w8yxpa,✅ Legitimate Website,100.0%,📱 QR Scan
09-07-2026 23:56:34,https://chatgpt.com/s/t_6a4fc90e6bb8819187f98a406fc07951,✅ Legitimate Website,52.47%,🌐 URL Scan
10-07-2026 00:47:30,https://chatgpt.com/s/t_6a4fc90e6bb8819187f98a406fc07951,✅ Legitimate Website,52.47%,🌐 URL Scan
10-07-2026 07:30:06,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
10-07-2026 18:15:52,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
10-07-2026 19:10:52,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
10-07-2026 19:29:29,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
11-07-2026 11:59:21,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
11-07-2026 14:48:44,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
11-07-2026 18:59:30,http://bit.ly/test,🚨 Phishing Website,99.54%,🌐 URL Scan
13-07-2026 10:30:43,https://freeqrscanner.page.link/naxz,✅ Legitimate Website,91.24%,📱 QR Scan
13-07-2026 10:31:57,http://bit.ly/test,🚨 Phishing Website,99.54%,🌐 URL Scan
